Quarter,Year,Data,CCG_Code,AT_CODE,Region_Code,Patient_Type,Band_1,Band_2,Band_3,Urgent_Occasional,Free___Arrest_of_Bleeding,Free___Bridge_Repairs,Free___Denture_Repair,Free___Prescription_Issue,Free___Removal_of_sutures,Total
Q1,2013/2014,Provisional,00J,Q45,Y54,Child,6774,8781,1176,758.4,0,0,0,0,1,17490.4
Q1,2013/2014,Provisional,00J,Q45,Y54,Non-Paying Adult,3931,10206,16092,2011.2,0,1.2,70,0,1,32312.4
Q1,2013/2014,Provisional,00J,Q45,Y54,Paying Adult,12002,19617,13116,3088.8,0,9.6,263,0,6,48102.4
Q1,2013/2014,Provisional,00K,Q45,Y54,Child,11101,13782,1644,782.4,0,0,1,0,0,27310.4
Q1,2013/2014,Provisional,00K,Q45,Y54,Non-Paying Adult,5644,15477,28020,2644.8,0,1.2,140,0,3,51930
Q1,2013/2014,Provisional,00K,Q45,Y54,Paying Adult,15556,25866,19512,2530.8,0,10.8,388,0,5,63868.6
Q1,2013/2014,Provisional,00L,Q49,Y54,Child,11012,10215,1152,852,1.2,0,1,0,0,23233.2
Q1,2013/2014,Provisional,00L,Q49,Y54,Non-Paying Adult,5533,14169,17160,2259.6,2.4,12,110,0,0,39246
Q1,2013/2014,Provisional,00L,Q49,Y54,Paying Adult,21402,29268,17496,3918,12,45.6,431,0,5,72577.6
Q1,2013/2014,Provisional,00M,Q45,Y54,Child,10564,13335,1044,1299.6,0,1.2,1,0,2,26246.8
Q1,2013/2014,Provisional,00M,Q45,Y54,Non-Paying Adult,6586,19092,26964,3828,0,13.2,111,0,1,56595.2
Q1,2013/2014,Provisional,00M,Q45,Y54,Paying Adult,14477,25098,15132,2862,2.4,34.8,309,0,0,57915.2
Q1,2013/2014,Provisional,00N,Q49,Y54,Child,5112,7233,864,484.8,0,0,1,0,0,13694.8
Q1,2013/2014,Provisional,00N,Q49,Y54,Non-Paying Adult,3207,11016,17244,1735.2,0,6,74,0,0,33282.2
Q1,2013/2014,Provisional,00N,Q49,Y54,Paying Adult,9423,16230,10668,1827.6,2.4,40.8,190,0,0,38381.8
Q1,2013/2014,Provisional,00P,Q49,Y54,Child,9821,11931,1128,998.4,0,0,1,0,0,23879.4
Q1,2013/2014,Provisional,00P,Q49,Y54,Non-Paying Adult,5934,16977,22836,2827.2,0,0,114,0,2,48690.2
Q1,2013/2014,Provisional,00P,Q49,Y54,Paying Adult,15081,24969,15552,2578.8,1.2,9.6,318,0,4,58513.6
Q1,2013/2014,Provisional,00Q,Q47,Y54,Child,8105,10707,540,854.4,0,0,1,0,0,20207.4
Q1,2013/2014,Provisional,00Q,Q47,Y54,Non-Paying Adult,3984,13476,12936,1874.4,0,0,54,0,2,32326.4
Q1,2013/2014,Provisional,00Q,Q47,Y54,Paying Adult,5546,9000,5724,1452,0,0,80,0,0,21802
Q1,2013/2014,Provisional,00R,Q47,Y54,Child,4333,5244,624,723.6,0,0,0,0,0,10924.6
Q1,2013/2014,Provisional,00R,Q47,Y54,Non-Paying Adult,3301,8232,11892,2290.8,0,0,73,0,0,25788.8
Q1,2013/2014,Provisional,00R,Q47,Y54,Paying Adult,7336,9738,6360,2772,0,3.6,151,0,2,26362.6
Q1,2013/2014,Provisional,00T,Q46,Y54,Child,11943,13533,864,1056,0,0,1,0,0,27397
Q1,2013/2014,Provisional,00T,Q46,Y54,Non-Paying Adult,6272,16332,16884,2983.2,0,1.2,59,0,2,42533.4
Q1,2013/2014,Provisional,00T,Q46,Y54,Paying Adult,14475,19647,10068,3388.8,1.2,2.4,122,0,0,47704.4
Q1,2013/2014,Provisional,00V,Q46,Y54,Child,7378,7686,1164,970.8,0,0,0,0,0,17198.8
Q1,2013/2014,Provisional,00V,Q46,Y54,Non-Paying Adult,3382,8118,16200,2307.6,0,2.4,32,0,0,30042
Q1,2013/2014,Provisional,00V,Q46,Y54,Paying Adult,10065,13800,11172,2776.8,3.6,27.6,155,0.75,2,38002.75
Q1,2013/2014,Provisional,00W,Q46,Y54,Child,6110,9858,660,1068,0,0,0,0,0,17696
Q1,2013/2014,Provisional,00W,Q46,Y54,Non-Paying Adult,3375,14922,20616,3124.8,1.2,0,55,0,0,42094
Q1,2013/2014,Provisional,00W,Q46,Y54,Paying Adult,4977,9174,6552,1458,0,0,52,0,0,22213
Q1,2013/2014,Provisional,00X,Q47,Y54,Child,7774,6726,504,528,0,0,0,0,0,15532
Q1,2013/2014,Provisional,00X,Q47,Y54,Non-Paying Adult,2828,7974,7044,1210.8,0,0,28,0,2,19086.8
Q1,2013/2014,Provisional,00X,Q47,Y54,Paying Adult,10376,15576,8028,2089.2,0,2.4,137,0,14,36222.6
Q1,2013/2014,Provisional,00Y,Q46,Y54,Child,10265,11031,660,1182,0,0,1,0,0,23139
Q1,2013/2014,Provisional,00Y,Q46,Y54,Non-Paying Adult,4734,13305,16740,2858.4,1.2,1.2,45,0,1,37685.8
Q1,2013/2014,Provisional,00Y,Q46,Y54,Paying Adult,11719,16887,11544,2550,1.2,14.4,136,0.75,2,42854.35
Q1,2013/2014,Provisional,01A,Q47,Y54,Child,15111,18570,1152,1752,0,2.4,4,0,0,36591.4
Q1,2013/2014,Provisional,01A,Q47,Y54,Non-Paying Adult,7560,23124,23460,4394.4,0,2.4,77,0,1,58618.8
Q1,2013/2014,Provisional,01A,Q47,Y54,Paying Adult,17913,28845,16512,4887.6,0,8.4,282,0,1,68449
Q1,2013/2014,Provisional,01C,Q44,Y54,Child,8951,8151,672,568.8,3.6,0,1,0,0,18347.4
Q1,2013/2014,Provisional,01C,Q44,Y54,Non-Paying Adult,2619,7893,8712,1300.8,0,0,24,0,0,20548.8
Q1,2013/2014,Provisional,01C,Q44,Y54,Paying Adult,16181,25503,15276,3837.6,0,4.8,156,0,1,60959.4
Q1,2013/2014,Provisional,01D,Q46,Y54,Child,10297,8463,564,915.6,0,0,0,0,0,20239.6
Q1,2013/2014,Provisional,01D,Q46,Y54,Non-Paying Adult,5345,14181,17280,2492.4,0,3.6,79,0,2,39383
Q1,2013/2014,Provisional,01D,Q46,Y54,Paying Adult,10165,14169,9444,2508,0,7.2,142,0,0,36435.2
Q1,2013/2014,Provisional,01E,Q47,Y54,Child,7298,6579,468,709.2,0,0,1,0,0,15055.2
Q1,2013/2014,Provisional,01E,Q47,Y54,Non-Paying Adult,3350,8592,9636,2269.2,0,0,34,0,0,23881.2
Q1,2013/2014,Provisional,01E,Q47,Y54,Paying Adult,10074,13071,8904,3267.6,0,19.2,207,0,2,35544.8
Q1,2013/2014,Provisional,01F,Q48,Y54,Child,5139,4752,396,530.4,0,0,0,0,0,10817.4
Q1,2013/2014,Provisional,01F,Q48,Y54,Non-Paying Adult,2096,6822,9948,1418.4,0,0,46,0,0,20330.4
Q1,2013/2014,Provisional,01F,Q48,Y54,Paying Adult,5995,10998,8376,1425.6,0,1.2,120,0,0,26915.8
Q1,2013/2014,Provisional,01G,Q46,Y54,Child,8437,11376,1644,1033.2,0,0,0,0,0,22490.2
Q1,2013/2014,Provisional,01G,Q46,Y54,Non-Paying Adult,5036,16116,26472,2986.8,3.6,8.4,59,0,0,50681.8
Q1,2013/2014,Provisional,01G,Q46,Y54,Paying Adult,9486,17793,13740,2655.6,6,27.6,194,0,0,43902.2
Q1,2013/2014,Provisional,01H,Q49,Y54,Child,18385,17718,1248,1588.8,1.2,0,4,0,1,38946
Q1,2013/2014,Provisional,01H,Q49,Y54,Non-Paying Adult,6331,16860,17592,3307.2,0,1.2,64,0,3,44158.4
Q1,2013/2014,Provisional,01H,Q49,Y54,Paying Adult,27759,43917,21588,6721.2,0,33.6,456,0,28,100502.8
Q1,2013/2014,Provisional,01J,Q48,Y54,Child,5096,7449,588,482.4,1.2,0,0,0,0,13616.6
Q1,2013/2014,Provisional,01J,Q48,Y54,Non-Paying Adult,3121,11028,23340,1692,0,3.6,79,0,0,39263.6
Q1,2013/2014,Provisional,01J,Q48,Y54,Paying Adult,5380,10440,9936,1203.6,0,10.8,117,0,0,27087.4
Q1,2013/2014,Provisional,01K,Q47,Y54,Child,5252,5328,312,456,0,0,1,0,0,11349
Q1,2013/2014,Provisional,01K,Q47,Y54,Non-Paying Adult,2190,6216,5916,1358.4,0,2.4,23,0,1,15706.8
Q1,2013/2014,Provisional,01K,Q47,Y54,Paying Adult,8313,14094,7224,2017.2,0,0,102,0,10,31760.2
Q1,2013/2014,Provisional,01M,Q46,Y54,Child,4637,6852,792,685.2,0,0,0,0,2,12968.2
Q1,2013/2014,Provisional,01M,Q46,Y54,Non-Paying Adult,2913,12381,22176,2502,0,2.4,57,1.5,1,40033.9
Q1,2013/2014,Provisional,01M,Q46,Y54,Paying Adult,6033,10425,8172,1908,1.2,7.2,67,0,5,26618.4
Q1,2013/2014,Provisional,01N,Q46,Y54,Child,4348,5898,396,624,0,0,0,0,0,11266
Q1,2013/2014,Provisional,01N,Q46,Y54,Non-Paying Adult,2169,9330,12468,2002.8,2.4,3.6,56,0,2,26033.8
Q1,2013/2014,Provisional,01N,Q46,Y54,Paying Adult,5589,9420,6096,1880.4,1.2,4.8,80,0,4,23075.4
Q1,2013/2014,Provisional,01R,Q44,Y54,Child,7278,6195,324,562.8,0,0,0,0,0,14359.8
Q1,2013/2014,Provisional,01R,Q44,Y54,Non-Paying Adult,2360,6042,5856,1120.8,0,0,35,0,1,15414.8
Q1,2013/2014,Provisional,01R,Q44,Y54,Paying Adult,10952,17112,11040,2582.4,1.2,3.6,207,0,1,41899.2
Q1,2013/2014,Provisional,01T,Q48,Y54,Child,5178,6222,816,703.2,0,0,2,0,0,12921.2
Q1,2013/2014,Provisional,01T,Q48,Y54,Non-Paying Adult,2699,10260,14400,2373.6,0,0,63,0,0,29795.6
Q1,2013/2014,Provisional,01T,Q48,Y54,Paying Adult,7920,14145,9588,2940,2.4,9.6,198,0,2,34805
Q1,2013/2014,Provisional,01V,Q48,Y54,Child,5208,4455,528,322.8,0,0,0,0,0,10513.8
Q1,2013/2014,Provisional,01V,Q48,Y54,Non-Paying Adult,2224,5532,6612,1015.2,0,0,50,0,2,15435.2
Q1,2013/2014,Provisional,01V,Q48,Y54,Paying Adult,9479,14415,10416,1918.8,0,1.2,248,0,3,36481
Q1,2013/2014,Provisional,01W,Q46,Y54,Child,11569,10878,804,924,0,0,5,0,0,24180
Q1,2013/2014,Provisional,01W,Q46,Y54,Non-Paying Adult,4795,11937,14652,2097.6,3.6,4.8,56,0,2,33548
Q1,2013/2014,Provisional,01W,Q46,Y54,Paying Adult,23237,30006,20280,4342.8,4.8,24,288,0,15,78197.6
Q1,2013/2014,Provisional,01X,Q48,Y54,Child,7747,9033,1356,932.4,0,0,2,0,0,19070.4
Q1,2013/2014,Provisional,01X,Q48,Y54,Non-Paying Adult,2896,9765,16668,1807.2,0,3.6,57,0,1,31197.8
Q1,2013/2014,Provisional,01X,Q48,Y54,Paying Adult,10484,17805,14928,3128.4,4.8,6,160,0,1,46517.2
Q1,2013/2014,Provisional,01Y,Q46,Y54,Child,9813,9345,1152,915.6,0,0,0,0,0,21225.6
Q1,2013/2014,Provisional,01Y,Q46,Y54,Non-Paying Adult,4926,11343,16860,2392.8,0,1.2,57,0,1,35581
Q1,2013/2014,Provisional,01Y,Q46,Y54,Paying Adult,16011,19470,15132,3573.6,0,3.6,199,0,5,54394.2
Q1,2013/2014,Provisional,02A,Q46,Y54,Child,9310,8853,924,1035.6,0,0,0,0,2,20124.6
Q1,2013/2014,Provisional,02A,Q46,Y54,Non-Paying Adult,3166,10239,15396,2523.6,0,2.4,54,0,4,31385
Q1,2013/2014,Provisional,02A,Q46,Y54,Paying Adult,11642,18303,12084,3356.4,0,26.4,189,0,15,45615.8
Q1,2013/2014,Provisional,02D,Q44,Y54,Child,4083,4746,228,283.2,0,0,0,0,0,9340.2
Q1,2013/2014,Provisional,02D,Q44,Y54,Non-Paying Adult,1560,4269,3576,624,0,0,20,0,0,10049
Q1,2013/2014,Provisional,02D,Q44,Y54,Paying Adult,6113,9045,5472,1152,0,0,59,0,1,21842
Q1,2013/2014,Provisional,02E,Q44,Y54,Child,8280,7854,672,819.6,0,0,1,0,1,17627.6
Q1,2013/2014,Provisional,02E,Q44,Y54,Non-Paying Adult,2982,8256,11100,1783.2,0,1.2,40,0,4,24166.4
Q1,2013/2014,Provisional,02E,Q44,Y54,Paying Adult,13176,20397,12564,2814,0,3.6,179,0,3,49136.6
Q1,2013/2014,Provisional,02F,Q44,Y54,Child,10600,9285,948,1017.6,0,0,1,0,0,21851.6
Q1,2013/2014,Provisional,02F,Q44,Y54,Non-Paying Adult,3514,11319,10716,2271.6,0,1.2,59,0,0,27880.8
Q1,2013/2014,Provisional,02F,Q44,Y54,Paying Adult,17903,29940,15540,4897.2,0,2.4,279,0,13,68574.6
Q1,2013/2014,Provisional,02G,Q47,Y54,Child,4378,4407,444,366,0,0,0,0,0,9595
Q1,2013/2014,Provisional,02G,Q47,Y54,Non-Paying Adult,1752,5352,5628,912,0,1.2,21,0,0,13666.2
Q1,2013/2014,Provisional,02G,Q47,Y54,Paying Adult,5466,8754,5556,1594.8,0,2.4,103,0,1,21477.2
Q1,2013/2014,Provisional,02H,Q46,Y54,Child,13438,14925,1296,1413.6,0,0,2,0,0,31074.6
Q1,2013/2014,Provisional,02H,Q46,Y54,Non-Paying Adult,6014,18591,21252,3100.8,0,6,119,0,0,49082.8
Q1,2013/2014,Provisional,02H,Q46,Y54,Paying Adult,20497,31521,17676,3907.2,0,28.8,463,0,4,74097
Q1,2013/2014,Provisional,02M,Q47,Y54,Child,6019,6336,576,361.2,0,0,0,0,0,13292.2
Q1,2013/2014,Provisional,02M,Q47,Y54,Non-Paying Adult,3380,8526,10032,943.2,0,0,51,0,2,22934.2
Q1,2013/2014,Provisional,02M,Q47,Y54,Paying Adult,14083,18354,14760,1881.6,0,6,200,0.75,4,49289.35
Q1,2013/2014,Provisional,02N,Q52,Y54,Child,7072,7989,312,360,0,0,3,0,0,15736
Q1,2013/2014,Provisional,02N,Q52,Y54,Non-Paying Adult,3047,7854,7164,819.6,0,0,28,0,0,18912.6
Q1,2013/2014,Provisional,02N,Q52,Y54,Paying Adult,11317,14823,8580,1428,1.2,12,169,0,3,36333.2
Q1,2013/2014,Provisional,02P,Q51,Y54,Child,8652,11736,960,816,0,0,2,0,0,22166
Q1,2013/2014,Provisional,02P,Q51,Y54,Non-Paying Adult,4663,15186,20172,2019.6,0,0,81,0,2,42123.6
Q1,2013/2014,Provisional,02P,Q51,Y54,Paying Adult,14575,25560,16236,2209.2,1.2,10.8,302,0,6,58900.2
Q1,2013/2014,Provisional,02Q,Q51,Y54,Child,3994,4131,372,273.6,0,0,1,0,0,8771.6
Q1,2013/2014,Provisional,02Q,Q51,Y54,Non-Paying Adult,1771,5604,6780,730.8,0,1.2,32,0,0,14919
Q1,2013/2014,Provisional,02Q,Q51,Y54,Paying Adult,6934,11940,6372,1166.4,0,7.2,189,0,6,26614.6
Q1,2013/2014,Provisional,02R,Q52,Y54,Child,13528,12453,564,652.8,0,0,0,0,0,27197.8
Q1,2013/2014,Provisional,02R,Q52,Y54,Non-Paying Adult,6866,16467,15720,1556.4,1.2,0,86,0,0,40696.6
Q1,2013/2014,Provisional,02R,Q52,Y54,Paying Adult,15351,22281,12432,2006.4,0,2.4,195,0,1,52268.8
Q1,2013/2014,Provisional,02T,Q52,Y54,Child,8175,9423,636,657.6,0,0,0,0,0,18891.6
Q1,2013/2014,Provisional,02T,Q52,Y54,Non-Paying Adult,3971,10590,12396,1927.2,0,7.2,45,0,0,28936.4
Q1,2013/2014,Provisional,02T,Q52,Y54,Paying Adult,12763,17757,12480,2264.4,0,15.6,176,0,0,45456
Q1,2013/2014,Provisional,02V,Q52,Y54,Child,8214,8454,408,1234.8,0,0,0,0,0,18310.8
Q1,2013/2014,Provisional,02V,Q52,Y54,Non-Paying Adult,3230,9663,10356,2709.6,1.2,1.2,54,0,2,26017
Q1,2013/2014,Provisional,02V,Q52,Y54,Paying Adult,10893,17784,11028,4033.2,2.4,3.6,174,0,6,43924.2
Q1,2013/2014,Provisional,02W,Q52,Y54,Child,4932,8313,276,892.8,0,0,0,0,0,14413.8
Q1,2013/2014,Provisional,02W,Q52,Y54,Non-Paying Adult,3449,10815,6768,2518.8,0,2.4,28,0,0,23581.2
Q1,2013/2014,Provisional,02W,Q52,Y54,Paying Adult,2213,3333,2076,1136.4,0,0,19,0,0,8777.4
Q1,2013/2014,Provisional,02X,Q51,Y54,Child,11270,16245,1296,1374,0,0,3,0,0,30188
Q1,2013/2014,Provisional,02X,Q51,Y54,Non-Paying Adult,6651,19149,19596,3430.8,0,2.4,103,0,1,48933.2
Q1,2013/2014,Provisional,02X,Q51,Y54,Paying Adult,21681,36396,19608,4371.6,1.2,7.2,445,0,4,82514
Q1,2013/2014,Provisional,02Y,Q50,Y54,Child,10781,8730,1248,624,0,0,1,0,0,21384
Q1,2013/2014,Provisional,02Y,Q50,Y54,Non-Paying Adult,4149,8037,11196,1005.6,0,0,40,0,2,24429.6
Q1,2013/2014,Provisional,02Y,Q50,Y54,Paying Adult,20184,23337,17496,2829.6,1.2,7.2,304,0,6,64165
Q1,2013/2014,Provisional,03A,Q52,Y54,Child,10233,10461,624,754.8,0,0,1,0,0,22073.8
Q1,2013/2014,Provisional,03A,Q52,Y54,Non-Paying Adult,4622,12267,11616,1777.2,0,0,88,0,2,30372.2
Q1,2013/2014,Provisional,03A,Q52,Y54,Paying Adult,15632,21870,11760,2500.8,0,2.4,284,0,5,52054.2
Q1,2013/2014,Provisional,03C,Q52,Y54,Child,10204,11256,1008,793.2,0,0,1,0,0,23262.2
Q1,2013/2014,Provisional,03C,Q52,Y54,Non-Paying Adult,5188,14982,16764,2026.8,0,0,54,0,2,39016.8
Q1,2013/2014,Provisional,03C,Q52,Y54,Paying Adult,19142,27165,16296,2582.4,0,15.6,209,0,6,65416
Q1,2013/2014,Provisional,03D,Q50,Y54,Child,6937,5355,492,408,0,0,0,0,0,13192
Q1,2013/2014,Provisional,03D,Q50,Y54,Non-Paying Adult,2315,4905,5880,610.8,0,0,36,0,1,13747.8
Q1,2013/2014,Provisional,03D,Q50,Y54,Paying Adult,10287,16368,10464,1536,0,6,206,0,4,38871
Q1,2013/2014,Provisional,03E,Q50,Y54,Child,6249,4341,168,408,0,0,1,0,0,11167
Q1,2013/2014,Provisional,03E,Q50,Y54,Non-Paying Adult,2142,3972,4584,772.8,0,0,28,0,1,11499.8
Q1,2013/2014,Provisional,03E,Q50,Y54,Paying Adult,9850,13281,8040,2173.2,0,4.8,114,0,7,33470
Q1,2013/2014,Provisional,03F,Q50,Y54,Child,12815,15246,1860,1197.6,0,0,1,0,1,31120.6
Q1,2013/2014,Provisional,03F,Q50,Y54,Non-Paying Adult,7658,19527,33924,3837.6,0,3.6,72,0,3,65025.2
Q1,2013/2014,Provisional,03F,Q50,Y54,Paying Adult,22245,25344,16968,5184,0,8.4,206,0,8,69963.4
Q1,2013/2014,Provisional,03G,Q52,Y54,Child,9351,12525,672,1100.4,0,0,0,0,0,23648.4
Q1,2013/2014,Provisional,03G,Q52,Y54,Non-Paying Adult,5127,15051,16944,2517.6,1.2,0,65,0,1,39706.8
Q1,2013/2014,Provisional,03G,Q52,Y54,Paying Adult,14678,19395,11028,2401.2,0,3.6,217,0,2,47724.8
Q1,2013/2014,Provisional,03H,Q50,Y54,Child,5560,7788,636,444,0,0,2,0,0,14430
Q1,2013/2014,Provisional,03H,Q50,Y54,Non-Paying Adult,2831,8187,8412,1315.2,0,1.2,42,0,0,20788.4
Q1,2013/2014,Provisional,03H,Q50,Y54,Paying Adult,9715,16104,8868,2235.6,0,10.8,115,0,1,37049.4
Q1,2013/2014,Provisional,03J,Q52,Y54,Child,10398,11013,792,715.2,0,0,0,0,0,22918.2
Q1,2013/2014,Provisional,03J,Q52,Y54,Non-Paying Adult,5132,12273,9816,1651.2,1.2,0,67,0,5,28945.4
Q1,2013/2014,Provisional,03J,Q52,Y54,Paying Adult,11630,15048,8772,1621.2,0,2.4,186,0.75,6,37266.35
Q1,2013/2014,Provisional,03K,Q50,Y54,Child,5634,3993,264,364.8,0,0,0,0,0,10255.8
Q1,2013/2014,Provisional,03K,Q50,Y54,Non-Paying Adult,1969,3834,3684,1047.6,0,0,24,0,0,10558.6
Q1,2013/2014,Provisional,03K,Q50,Y54,Paying Adult,8382,10479,5832,2139.6,0,2.4,135,0,1,26971
Q1,2013/2014,Provisional,03L,Q51,Y54,Child,9903,11655,1128,855.6,0,0,2,0,1,23544.6
Q1,2013/2014,Provisional,03L,Q51,Y54,Non-Paying Adult,4863,15669,16908,1899.6,0,2.4,81,0,1,39424
Q1,2013/2014,Provisional,03L,Q51,Y54,Paying Adult,16168,27489,14556,2547.6,1.2,33.6,320,0,5,61120.4
Q1,2013/2014,Provisional,03M,Q50,Y54,Child,4032,3906,264,339.6,0,0,0,0,0,8541.6
Q1,2013/2014,Provisional,03M,Q50,Y54,Non-Paying Adult,2172,4533,5484,711.6,0,0,20,0,1,12921.6
Q1,2013/2014,Provisional,03M,Q50,Y54,Paying Adult,6549,9651,6108,1312.8,0,0,120,0,3,23743.8
Q1,2013/2014,Provisional,03N,Q51,Y54,Child,22380,22950,1476,1682.4,0,0,1,0,1,48490.4
Q1,2013/2014,Provisional,03N,Q51,Y54,Non-Paying Adult,11399,30378,29004,3957.6,0,7.2,140,0,2,74887.8
Q1,2013/2014,Provisional,03N,Q51,Y54,Paying Adult,37938,54273,28248,7438.8,2.4,15.6,613,0,16,128544.8
Q1,2013/2014,Provisional,03Q,Q50,Y54,Child,13885,11463,552,895.2,0,0,4,0,1,26800.2
Q1,2013/2014,Provisional,03Q,Q50,Y54,Non-Paying Adult,4842,11556,10932,1450.8,0,0,29,0,1,28810.8
Q1,2013/2014,Provisional,03Q,Q50,Y54,Paying Adult,29637,37485,19224,3918,0,16.8,362,0,4,90646.8
Q1,2013/2014,Provisional,03R,Q52,Y54,Child,13887,13431,960,1149.6,0,0,1,0,2,29430.6
Q1,2013/2014,Provisional,03R,Q52,Y54,Non-Paying Adult,6986,16242,18396,2631.6,1.2,1.2,113,0,4,44375
Q1,2013/2014,Provisional,03R,Q52,Y54,Paying Adult,26469,34614,20940,4068,1.2,10.8,425,0,23,86551
Q1,2013/2014,Provisional,03T,Q59,Y55,Child,6215,7254,816,621.6,0,0,0,0,0,14906.6
Q1,2013/2014,Provisional,03T,Q59,Y55,Non-Paying Adult,3899,10707,15384,1851.6,0,0,17,0,2,31860.6
Q1,2013/2014,Provisional,03T,Q59,Y55,Paying Adult,15020,21600,13200,1855.2,0,8.4,137,0,6,51826.6
Q1,2013/2014,Provisional,03V,Q58,Y55,Child,2061,2901,252,348,0,0,0,0,0,5562
Q1,2013/2014,Provisional,03V,Q58,Y55,Non-Paying Adult,874,4074,3468,804,0,0,12,0,1,9233
Q1,2013/2014,Provisional,03V,Q58,Y55,Paying Adult,2445,4479,2940,1110,0,2.4,23,0,3,11002.4
Q1,2013/2014,Provisional,03W,Q59,Y55,Child,12703,10779,1416,771.6,0,0,1,0,0,25670.6
Q1,2013/2014,Provisional,03W,Q59,Y55,Non-Paying Adult,3859,11127,13548,1251.6,0,0,26,0,1,29812.6
Q1,2013/2014,Provisional,03W,Q59,Y55,Paying Adult,21366,28794,16164,2836.8,0,6,206,0,2,69374.8
Q1,2013/2014,Provisional,03X,Q55,Y55,Child,4076,4050,300,127.2,0,0,0,0,0,8553.2
Q1,2013/2014,Provisional,03X,Q55,Y55,Non-Paying Adult,1893,5421,4632,313.2,0,0,21,0,0,12280.2
Q1,2013/2014,Provisional,03X,Q55,Y55,Paying Adult,9512,14448,7020,854.4,0,4.8,159,0,3,32001.2
Q1,2013/2014,Provisional,03Y,Q55,Y55,Child,3188,3093,216,178.8,0,1.2,0,0,1,6678
Q1,2013/2014,Provisional,03Y,Q55,Y55,Non-Paying Adult,1858,4941,4152,518.4,0,0,18,0,1,11488.4
Q1,2013/2014,Provisional,03Y,Q55,Y55,Paying Adult,6288,8451,3684,651.6,0,4.8,57,0.75,2,19139.15
Q1,2013/2014,Provisional,04C,Q59,Y55,Child,12954,19239,1200,1392,0,0,2,0,0,34787
Q1,2013/2014,Provisional,04C,Q59,Y55,Non-Paying Adult,7847,27504,26856,4213.2,0,1.2,118,0,2,66541.4
Q1,2013/2014,Provisional,04C,Q59,Y55,Paying Adult,12310,23298,11352,3085.2,2.4,18,153,0,7,50225.6
Q1,2013/2014,Provisional,04D,Q59,Y55,Child,7003,6267,648,360,0,0,2,0,0,14280
Q1,2013/2014,Provisional,04D,Q59,Y55,Non-Paying Adult,3037,9216,8700,1000.8,0,1.2,34,0,2,21991
Q1,2013/2014,Provisional,04D,Q59,Y55,Paying Adult,12066,21237,9624,1974,0,4.8,190,0,14,45109.8
Q1,2013/2014,Provisional,04E,Q55,Y55,Child,7680,6171,576,410.4,0,0,0,0,0,14837.4
Q1,2013/2014,Provisional,04E,Q55,Y55,Non-Paying Adult,4060,9000,11436,1407.6,0,0,41,0,0,25944.6
Q1,2013/2014,Provisional,04E,Q55,Y55,Paying Adult,13878,16392,9672,1672.8,0,0,137,0,2,41753.8
Q1,2013/2014,Provisional,04F,Q58,Y55,Child,10427,10659,780,931.2,0,0,0,0,0,22797.2
Q1,2013/2014,Provisional,04F,Q58,Y55,Non-Paying Adult,3391,9582,11028,1825.2,0,0,39,0,2,25867.2
Q1,2013/2014,Provisional,04F,Q58,Y55,Paying Adult,9569,15054,9684,2056.8,4.8,3.6,130,0,10,36512.2
Q1,2013/2014,Provisional,04G,Q58,Y55,Child,24914,23364,2160,1588.8,1.2,0,4,0,1,52033
